"pais","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Luxemburgo","870831","885852","822533","853903","855840","851136","927738","1039067","1059848","681482","786920","785200","781146","1555788","1710624","1830972","1845726","1901012","2099102","2114417","753114","1081478"
"Letonia","278396","255392","264991","339747","593662","1032128","1409620","1344912","1371810","1301848","3158051","3299391","2888683","2754720","2636612.7588988","2527368","2843133","3441024","4058762","4976410","1323070","1598685"
"Región Administrativa Especial de Macao, China","1532189","1706332","1728004","1211797","1800237","2040654","2285750","2393294","1866141","1427324","1329721","1327732","1561850","1767100","2078758","2276436","2788571","2776815","3157724","3659911","544411","698047"
"Isla de San Martín (parte francesa)","","","","","","","","","","","","","","","","","","","","","",""
"Marruecos","3671317","3680688","3049154","2638314","3004353","3492984","4109489","4623543","4927341","4930683","7144446","7502696.7452167","6563646.6759083","6507408","6976810","7043971","7738637","8667392","8132917","9380951","3012310","4740714"
"Mónaco","82764","77798","104255","94563","83916","87523","95721","101753","84660","63876","59658","63186","65404.363636364","64524","64188","60382","12137","316","316","316","",""
"República de Moldova","117532","120125","129377","179084","200615","231985","273810","314361","401199","402423","479457","540679","543872","557653","692496","1005936","936254","1092606","1423791","1408166","306631.727","528581"
"Madagascar","629409","657953","266033","451729","513508","574904","572991","616433","558981","499526","524296","544100.72727273","588169","539208","520421","458572","441861","486425","541290","544458","186314.332","109461.4"
"Maldivas","315108","56216","57902","60218","75875","81945","93417","92483","91096","85448","","","","","1024693.8447786","1313533","1409704","1485752","1191383.0826596","1221786.6751241","292931","277881.434"
"Oriente Medio y Norte de África","59654534","67991058","64355768","73216604","78560904","61431744","66638675","71222974","71070884","114274202","151073013.62007","160271708.77236","175337423.62552","188897689.14599","204902736.90704","217000211","239193056","257942310.79","264706357.92117","276426540.53805","92258911.785","116029651.342"
"México","20894205","20172824","19618662","20661206","21167881","21857658","21243010","20952513","18825976","15728171","31269061","29538937","32909408.724554","35986501.817","39570522","46966763","53313307","58537832","64569640","69937838","34133108","54217876"
"Islas Marshall","16109","18805","24592","27471","28970","25789","30232","29980","29530","27692","","","","","","","","22435","24313","21500","25563","30115"
" Ingreso mediano","282936800","304528703","309237730","320019497","392586282","427863501","474937444","532694165","556773418","610388035","802444751.8675","893911190.74138","965360803.09643","1049881841.5732","1141627201.0565","1258679826","1375665914","1523895461.6903","1668339985.8247","1720079220.1193","833698351.654","922045260.628"
"Macedonia del Norte","599012","315450","165735","200959","210875","191977","209255","234366","196420","86868","","","","","","","","","","","",""
"Malí","77273","46364","","","","","","","","","303692","363857.37590431","181742.61420249","33444","0","","","","","","",""
